phrase1,phrase2_cut,ante_noun,ante_gender,phrases_cut,next_5
The grandparents were descending the stairs.,It was evident that one of the,grandparents,n,The grandparents were descending the stairs. It was evident that one of the, grandchildren had been sitting on
The grandmothers were descending the stairs.,It was evident that one of the,grandmothers,f,The grandmothers were descending the stairs. It was evident that one of the, grandmothers was not
The grandfathers were descending the stairs.,It was evident that one of the,grandfathers,m,The grandfathers were descending the stairs. It was evident that one of the, grandfathers was a
The monarchs were descending the stairs.,It was evident that one of the,monarchs,n,The monarchs were descending the stairs. It was evident that one of the, monarchs was a king
The queens were descending the stairs.,It was evident that one of the,queens,f,The queens were descending the stairs. It was evident that one of the, queens was the mother of
The kings were descending the stairs.,It was evident that one of the,kings,m,The kings were descending the stairs. It was evident that one of the, kings was the king of
The siblings were descending the stairs.,It was evident that one of the,siblings,n,The siblings were descending the stairs. It was evident that one of the, siblings was the oldest.
The sisters were descending the stairs.,It was evident that one of the,sisters,f,The sisters were descending the stairs. It was evident that one of the, sisters was the older of
The brothers were descending the stairs.,It was evident that one of the,brothers,m,The brothers were descending the stairs. It was evident that one of the," brothers was older, because"
The parents-in-law were descending the stairs.,It was evident that one of the,parents-in-law,n,The parents-in-law were descending the stairs. It was evident that one of the, pair had been crying.
The mothers-in-law were descending the stairs.,It was evident that one of the,mothers-in-law,f,The mothers-in-law were descending the stairs. It was evident that one of the, mothers-in-law was the
The fathers-in-law were descending the stairs.,It was evident that one of the,fathers-in-law,m,The fathers-in-law were descending the stairs. It was evident that one of the, fathers-in-law was a
The parents were descending the stairs.,It was evident that one of the,parents,n,The parents were descending the stairs. It was evident that one of the, parents was upset. The
The mothers were descending the stairs.,It was evident that one of the,mothers,f,The mothers were descending the stairs. It was evident that one of the, mothers had been crying.
The fathers were descending the stairs.,It was evident that one of the,fathers,m,The fathers were descending the stairs. It was evident that one of the, fathers was a little tips
The children were descending the stairs.,It was evident that one of the,children,n,The children were descending the stairs. It was evident that one of the, children was the leader of
The daughters were descending the stairs.,It was evident that one of the,daughters,f,The daughters were descending the stairs. It was evident that one of the, girls was the other's
The sons were descending the stairs.,It was evident that one of the,sons,m,The sons were descending the stairs. It was evident that one of the, boys was not happy with
The spouses were descending the stairs.,It was evident that one of the,spouses,n,The spouses were descending the stairs. It was evident that one of the, spouses was the husband.
The wives were descending the stairs.,It was evident that one of the,wives,f,The wives were descending the stairs. It was evident that one of the, wives was not a wife
The husbands were descending the stairs.,It was evident that one of the,husbands,m,The husbands were descending the stairs. It was evident that one of the, husbands was a very wealthy
The grandparents were entering the airport.,It was noticeable that a few of the,grandparents,n,The grandparents were entering the airport. It was noticeable that a few of the, people around them were wearing
The grandmothers were entering the airport.,It was noticeable that a few of the,grandmothers,f,The grandmothers were entering the airport. It was noticeable that a few of the, grandmothers were not
The grandfathers were entering the airport.,It was noticeable that a few of the,grandfathers,m,The grandfathers were entering the airport. It was noticeable that a few of the, grandfathers were entering
The monarchs were entering the airport.,It was noticeable that a few of the,monarchs,n,The monarchs were entering the airport. It was noticeable that a few of the, monarchs were not in
The queens were entering the airport.,It was noticeable that a few of the,queens,f,The queens were entering the airport. It was noticeable that a few of the, queens were not from the
The kings were entering the airport.,It was noticeable that a few of the,kings,m,The kings were entering the airport. It was noticeable that a few of the, kings were wearing crowns
The siblings were entering the airport.,It was noticeable that a few of the,siblings,n,The siblings were entering the airport. It was noticeable that a few of the, other passengers were also a
The sisters were entering the airport.,It was noticeable that a few of the,sisters,f,The sisters were entering the airport. It was noticeable that a few of the, other passengers were getting nervous
The brothers were entering the airport.,It was noticeable that a few of the,brothers,m,The brothers were entering the airport. It was noticeable that a few of the, other people were also arriving
The parents-in-law were entering the airport.,It was noticeable that a few of the,parents-in-law,n,The parents-in-law were entering the airport. It was noticeable that a few of the, passengers were in a hurry
The mothers-in-law were entering the airport.,It was noticeable that a few of the,mothers-in-law,f,The mothers-in-law were entering the airport. It was noticeable that a few of the, mothers-in-law were not
The fathers-in-law were entering the airport.,It was noticeable that a few of the,fathers-in-law,m,The fathers-in-law were entering the airport. It was noticeable that a few of the, fathers-in-law were not
The parents were entering the airport.,It was noticeable that a few of the,parents,n,The parents were entering the airport. It was noticeable that a few of the, other parents were crying.
The mothers were entering the airport.,It was noticeable that a few of the,mothers,f,The mothers were entering the airport. It was noticeable that a few of the, mothers were not traveling with
The fathers were entering the airport.,It was noticeable that a few of the,fathers,m,The fathers were entering the airport. It was noticeable that a few of the, fathers were not as happy
The children were entering the airport.,It was noticeable that a few of the,children,n,The children were entering the airport. It was noticeable that a few of the, children were not with their
The daughters were entering the airport.,It was noticeable that a few of the,daughters,f,The daughters were entering the airport. It was noticeable that a few of the, daughters were not wearing what
The sons were entering the airport.,It was noticeable that a few of the,sons,m,The sons were entering the airport. It was noticeable that a few of the, sons were not married.
The spouses were entering the airport.,It was noticeable that a few of the,spouses,n,The spouses were entering the airport. It was noticeable that a few of the, other passengers were also couples
The wives were entering the airport.,It was noticeable that a few of the,wives,f,The wives were entering the airport. It was noticeable that a few of the, wives were not wearing masks
The husbands were entering the airport.,It was noticeable that a few of the,husbands,m,The husbands were entering the airport. It was noticeable that a few of the, husbands were nervous. The
The grandparents were already on break.,It was noticeable that one of the,grandparents,n,The grandparents were already on break. It was noticeable that one of the, grandchildren was not there.
The grandmothers were already on break.,It was noticeable that one of the,grandmothers,f,The grandmothers were already on break. It was noticeable that one of the, grandmothers was not
The grandfathers were already on break.,It was noticeable that one of the,grandfathers,m,The grandfathers were already on break. It was noticeable that one of the, grandfathers was not
The monarchs were already on break.,It was noticeable that one of the,monarchs,n,The monarchs were already on break. It was noticeable that one of the, monarchs was a little
The queens were already on break.,It was noticeable that one of the,queens,f,The queens were already on break. It was noticeable that one of the, queens was missing. The
The kings were already on break.,It was noticeable that one of the,kings,m,The kings were already on break. It was noticeable that one of the, kings was missing. The
The siblings were already on break.,It was noticeable that one of the,siblings,n,The siblings were already on break. It was noticeable that one of the, siblings was not there.
The sisters were already on break.,It was noticeable that one of the,sisters,f,The sisters were already on break. It was noticeable that one of the, sisters was not there.
The brothers were already on break.,It was noticeable that one of the,brothers,m,The brothers were already on break. It was noticeable that one of the, brothers was not as what
The parents-in-law were already on break.,It was noticeable that one of the,parents-in-law,n,The parents-in-law were already on break. It was noticeable that one of the, children was missing. The
The mothers-in-law were already on break.,It was noticeable that one of the,mothers-in-law,f,The mothers-in-law were already on break. It was noticeable that one of the, mothers-in-law was not
The fathers-in-law were already on break.,It was noticeable that one of the,fathers-in-law,m,The fathers-in-law were already on break. It was noticeable that one of the, fathers-in-law was a
The parents were already on break.,It was noticeable that one of the,parents,n,The parents were already on break. It was noticeable that one of the, parents was not there.
The mothers were already on break.,It was noticeable that one of the,mothers,f,The mothers were already on break. It was noticeable that one of the, mothers was not there.
The fathers were already on break.,It was noticeable that one of the,fathers,m,The fathers were already on break. It was noticeable that one of the, fathers was not there.
The children were already on break.,It was noticeable that one of the,children,n,The children were already on break. It was noticeable that one of the," children was not where?
"
The daughters were already on break.,It was noticeable that one of the,daughters,f,The daughters were already on break. It was noticeable that one of the, daughters was not there.
The sons were already on break.,It was noticeable that one of the,sons,m,The sons were already on break. It was noticeable that one of the, sons was not there.
The spouses were already on break.,It was noticeable that one of the,spouses,n,The spouses were already on break. It was noticeable that one of the, spouses were on the bed
The wives were already on break.,It was noticeable that one of the,wives,f,The wives were already on break. It was noticeable that one of the, wives was not there.
The husbands were already on break.,It was noticeable that one of the,husbands,m,The husbands were already on break. It was noticeable that one of the, wives was missing. The
The grandparents were descending the steps.,"After such a long day, some of the",grandparents,n,"The grandparents were descending the steps. After such a long day, some of the", steps were hard to see
The grandmothers were descending the steps.,"After such a long day, some of the",grandmothers,f,"The grandmothers were descending the steps. After such a long day, some of the", steps were difficult for them
The grandfathers were descending the steps.,"After such a long day, some of the",grandfathers,m,"The grandfathers were descending the steps. After such a long day, some of the", steps were particularly difficult.
The monarchs were descending the steps.,"After such a long day, some of the",monarchs,n,"The monarchs were descending the steps. After such a long day, some of the", monarchs were tired and
The queens were descending the steps.,"After such a long day, some of the",queens,f,"The queens were descending the steps. After such a long day, some of the", queens were tired and went
The kings were descending the steps.,"After such a long day, some of the",kings,m,"The kings were descending the steps. After such a long day, some of the", kings were tired and some
The siblings were descending the steps.,"After such a long day, some of the",siblings,n,"The siblings were descending the steps. After such a long day, some of the", steps were difficult. The
The sisters were descending the steps.,"After such a long day, some of the",sisters,f,"The sisters were descending the steps. After such a long day, some of the", steps were hard to see
The brothers were descending the steps.,"After such a long day, some of the",brothers,m,"The brothers were descending the steps. After such a long day, some of the", steps were hard to see
The parents-in-law were descending the steps.,"After such a long day, some of the",parents-in-law,n,"The parents-in-law were descending the steps. After such a long day, some of the", guests were already leaving.
The mothers-in-law were descending the steps.,"After such a long day, some of the",mothers-in-law,f,"The mothers-in-law were descending the steps. After such a long day, some of the", women were tired and some
The fathers-in-law were descending the steps.,"After such a long day, some of the",fathers-in-law,m,"The fathers-in-law were descending the steps. After such a long day, some of the", men were tired and sleepy
The parents were descending the steps.,"After such a long day, some of the",parents,n,"The parents were descending the steps. After such a long day, some of the", parents were exhausted. The
The mothers were descending the steps.,"After such a long day, some of the",mothers,f,"The mothers were descending the steps. After such a long day, some of the", mothers were tired and some
The fathers were descending the steps.,"After such a long day, some of the",fathers,m,"The fathers were descending the steps. After such a long day, some of the", fathers were tired and some
The children were descending the steps.,"After such a long day, some of the",children,n,"The children were descending the steps. After such a long day, some of the", children were tired and sleepy
The daughters were descending the steps.,"After such a long day, some of the",daughters,f,"The daughters were descending the steps. After such a long day, some of the", steps were a bit difficult
The sons were descending the steps.,"After such a long day, some of the",sons,m,"The sons were descending the steps. After such a long day, some of the", steps were a bit difficult
The spouses were descending the steps.,"After such a long day, some of the",spouses,n,"The spouses were descending the steps. After such a long day, some of the", steps were difficult to take
The wives were descending the steps.,"After such a long day, some of the",wives,f,"The wives were descending the steps. After such a long day, some of the", women were tired and sleepy
The husbands were descending the steps.,"After such a long day, some of the",husbands,m,"The husbands were descending the steps. After such a long day, some of the", men were a little tips
The grandparents were entering the house.,"At the end of the day, a few of the",grandparents,n,"The grandparents were entering the house. At the end of the day, a few of the", grandchildren were still there.
The grandmothers were entering the house.,"At the end of the day, a few of the",grandmothers,f,"The grandmothers were entering the house. At the end of the day, a few of the", grandmothers were leaving
The grandfathers were entering the house.,"At the end of the day, a few of the",grandfathers,m,"The grandfathers were entering the house. At the end of the day, a few of the", grandfathers were still
The monarchs were entering the house.,"At the end of the day, a few of the",monarchs,n,"The monarchs were entering the house. At the end of the day, a few of the", monarchs were still on
The queens were entering the house.,"At the end of the day, a few of the",queens,f,"The queens were entering the house. At the end of the day, a few of the", queens were still in the
The kings were entering the house.,"At the end of the day, a few of the",kings,m,"The kings were entering the house. At the end of the day, a few of the", kings were still entering the
The siblings were entering the house.,"At the end of the day, a few of the",siblings,n,"The siblings were entering the house. At the end of the day, a few of the", siblings were still in the
The sisters were entering the house.,"At the end of the day, a few of the",sisters,f,"The sisters were entering the house. At the end of the day, a few of the", girls had to be carried
The brothers were entering the house.,"At the end of the day, a few of the",brothers,m,"The brothers were entering the house. At the end of the day, a few of the", boys would be punished for
The parents-in-law were entering the house.,"At the end of the day, a few of the",parents-in-law,n,"The parents-in-law were entering the house. At the end of the day, a few of the"," guests had left, and"
The mothers-in-law were entering the house.,"At the end of the day, a few of the",mothers-in-law,f,"The mothers-in-law were entering the house. At the end of the day, a few of the"," women were still there,"
The fathers-in-law were entering the house.,"At the end of the day, a few of the",fathers-in-law,m,"The fathers-in-law were entering the house. At the end of the day, a few of the", men who had been working
The parents were entering the house.,"At the end of the day, a few of the",parents,n,"The parents were entering the house. At the end of the day, a few of the", children were still playing outside
The mothers were entering the house.,"At the end of the day, a few of the",mothers,f,"The mothers were entering the house. At the end of the day, a few of the", mothers were leaving the house
The fathers were entering the house.,"At the end of the day, a few of the",fathers,m,"The fathers were entering the house. At the end of the day, a few of the", fathers were still working.
The children were entering the house.,"At the end of the day, a few of the",children,n,"The children were entering the house. At the end of the day, a few of the", children were still there.
The daughters were entering the house.,"At the end of the day, a few of the",daughters,f,"The daughters were entering the house. At the end of the day, a few of the", girls were still outside.
The sons were entering the house.,"At the end of the day, a few of the",sons,m,"The sons were entering the house. At the end of the day, a few of the", sons were still in the
The spouses were entering the house.,"At the end of the day, a few of the",spouses,n,"The spouses were entering the house. At the end of the day, a few of the", guests were still there.
The wives were entering the house.,"At the end of the day, a few of the",wives,f,"The wives were entering the house. At the end of the day, a few of the", wives were still outside.
The husbands were entering the house.,"At the end of the day, a few of the",husbands,m,"The husbands were entering the house. At the end of the day, a few of the", husbands were entering the house
The grandparents were talking calmly.,"After a while, some of the",grandparents,n,"The grandparents were talking calmly. After a while, some of the", people in the room began
The grandmothers were talking calmly.,"After a while, some of the",grandmothers,f,"The grandmothers were talking calmly. After a while, some of the", women began to cry.
The grandfathers were talking calmly.,"After a while, some of the",grandfathers,m,"The grandfathers were talking calmly. After a while, some of the", young men began to get
The monarchs were talking calmly.,"After a while, some of the",monarchs,n,"The monarchs were talking calmly. After a while, some of the", monarchs were talking calmly
The queens were talking calmly.,"After a while, some of the",queens,f,"The queens were talking calmly. After a while, some of the", other women joined in the
The kings were talking calmly.,"After a while, some of the",kings,m,"The kings were talking calmly. After a while, some of the", kings got bored and left
The siblings were talking calmly.,"After a while, some of the",siblings,n,"The siblings were talking calmly. After a while, some of the", siblings started to get angry
The sisters were talking calmly.,"After a while, some of the",sisters,f,"The sisters were talking calmly. After a while, some of the", other people in the room
The brothers were talking calmly.,"After a while, some of the",brothers,m,"The brothers were talking calmly. After a while, some of the", other people in the room
The parents-in-law were talking calmly.,"After a while, some of the",parents-in-law,n,"The parents-in-law were talking calmly. After a while, some of the", guests arrived. The parents
The mothers-in-law were talking calmly.,"After a while, some of the",mothers-in-law,f,"The mothers-in-law were talking calmly. After a while, some of the", women began to cry.
The fathers-in-law were talking calmly.,"After a while, some of the",fathers-in-law,m,"The fathers-in-law were talking calmly. After a while, some of the"," young men came back,"
The parents were talking calmly.,"After a while, some of the",parents,n,"The parents were talking calmly. After a while, some of the", children began to get restless
The mothers were talking calmly.,"After a while, some of the",mothers,f,"The mothers were talking calmly. After a while, some of the", mothers began to leave.
The fathers were talking calmly.,"After a while, some of the",fathers,m,"The fathers were talking calmly. After a while, some of the", fathers began to cry.
The children were talking calmly.,"After a while, some of the",children,n,"The children were talking calmly. After a while, some of the", children began to get excited
The daughters were talking calmly.,"After a while, some of the",daughters,f,"The daughters were talking calmly. After a while, some of the", men began to leave.
The sons were talking calmly.,"After a while, some of the",sons,m,"The sons were talking calmly. After a while, some of the", men began to leave.
The spouses were talking calmly.,"After a while, some of the",spouses,n,"The spouses were talking calmly. After a while, some of the", people in the room began
The wives were talking calmly.,"After a while, some of the",wives,f,"The wives were talking calmly. After a while, some of the", husbands began to get restless
The husbands were talking calmly.,"After a while, some of the",husbands,m,"The husbands were talking calmly. After a while, some of the", women began to cry.
The grandparents were congratulating each other on the result.,It was obvious that the majority of the,grandparents,n,The grandparents were congratulating each other on the result. It was obvious that the majority of the, family was against them.
The grandmothers were congratulating each other on the result.,It was obvious that the majority of the,grandmothers,f,The grandmothers were congratulating each other on the result. It was obvious that the majority of the, votes were cast in favor
The grandfathers were congratulating each other on the result.,It was obvious that the majority of the,grandfathers,m,The grandfathers were congratulating each other on the result. It was obvious that the majority of the, grandfathers were ____
The monarchs were congratulating each other on the result.,It was obvious that the majority of the,monarchs,n,The monarchs were congratulating each other on the result. It was obvious that the majority of the, people had voted for the
The queens were congratulating each other on the result.,It was obvious that the majority of the,queens,f,The queens were congratulating each other on the result. It was obvious that the majority of the, council was on their side
The kings were congratulating each other on the result.,It was obvious that the majority of the,kings,m,The kings were congratulating each other on the result. It was obvious that the majority of the, people were in favor of
The siblings were congratulating each other on the result.,It was obvious that the majority of the,siblings,n,The siblings were congratulating each other on the result. It was obvious that the majority of the, family voted for the older
The sisters were congratulating each other on the result.,It was obvious that the majority of the,sisters,f,The sisters were congratulating each other on the result. It was obvious that the majority of the, voters had chosen the right
The brothers were congratulating each other on the result.,It was obvious that the majority of the,brothers,m,The brothers were congratulating each other on the result. It was obvious that the majority of the, jury was in their favor
The parents-in-law were congratulating each other on the result.,It was obvious that the majority of the,parents-in-law,n,The parents-in-law were congratulating each other on the result. It was obvious that the majority of the, guests were on their side
The mothers-in-law were congratulating each other on the result.,It was obvious that the majority of the,mothers-in-law,f,The mothers-in-law were congratulating each other on the result. It was obvious that the majority of the, guests were on their side
The fathers-in-law were congratulating each other on the result.,It was obvious that the majority of the,fathers-in-law,m,The fathers-in-law were congratulating each other on the result. It was obvious that the majority of the, guests were on the side
The parents were congratulating each other on the result.,It was obvious that the majority of the,parents,n,The parents were congratulating each other on the result. It was obvious that the majority of the, parents were very happy with
The mothers were congratulating each other on the result.,It was obvious that the majority of the,mothers,f,The mothers were congratulating each other on the result. It was obvious that the majority of the, mothers had been to the
The fathers were congratulating each other on the result.,It was obvious that the majority of the,fathers,m,The fathers were congratulating each other on the result. It was obvious that the majority of the, fathers were very happy with
The children were congratulating each other on the result.,It was obvious that the majority of the,children,n,The children were congratulating each other on the result. It was obvious that the majority of the, children were not used to
The daughters were congratulating each other on the result.,It was obvious that the majority of the,daughters,f,The daughters were congratulating each other on the result. It was obvious that the majority of the, voters had chosen the right
The sons were congratulating each other on the result.,It was obvious that the majority of the,sons,m,The sons were congratulating each other on the result. It was obvious that the majority of the, jury was in their favor
The spouses were congratulating each other on the result.,It was obvious that the majority of the,spouses,n,The spouses were congratulating each other on the result. It was obvious that the majority of the, voters had approved of their
The wives were congratulating each other on the result.,It was obvious that the majority of the,wives,f,The wives were congratulating each other on the result. It was obvious that the majority of the, husbands were not. The
The husbands were congratulating each other on the result.,It was obvious that the majority of the,husbands,m,The husbands were congratulating each other on the result. It was obvious that the majority of the, wives were not happy with
The grandparents were crossing the hall.,"Given the bad weather, most of the",grandparents,n,"The grandparents were crossing the hall. Given the bad weather, most of the", people were staying at home
The grandmothers were crossing the hall.,"Given the bad weather, most of the",grandmothers,f,"The grandmothers were crossing the hall. Given the bad weather, most of the", grandmothers were wearing
The grandfathers were crossing the hall.,"Given the bad weather, most of the",grandfathers,m,"The grandfathers were crossing the hall. Given the bad weather, most of the", people were sitting in the
The monarchs were crossing the hall.,"Given the bad weather, most of the",monarchs,n,"The monarchs were crossing the hall. Given the bad weather, most of the", monarchs were late.
The queens were crossing the hall.,"Given the bad weather, most of the",queens,f,"The queens were crossing the hall. Given the bad weather, most of the", people were sitting in the
The kings were crossing the hall.,"Given the bad weather, most of the",kings,m,"The kings were crossing the hall. Given the bad weather, most of the", kings were wearing a rain
The siblings were crossing the hall.,"Given the bad weather, most of the",siblings,n,"The siblings were crossing the hall. Given the bad weather, most of the", time they were walking in
The sisters were crossing the hall.,"Given the bad weather, most of the",sisters,f,"The sisters were crossing the hall. Given the bad weather, most of the", people were inside. 
The brothers were crossing the hall.,"Given the bad weather, most of the",brothers,m,"The brothers were crossing the hall. Given the bad weather, most of the", people were sitting in the
The parents-in-law were crossing the hall.,"Given the bad weather, most of the",parents-in-law,n,"The parents-in-law were crossing the hall. Given the bad weather, most of the", guests had left. The
