item_no,ante_noun,ante_gender,coref_gender,ante_gender_gramm,phrase1,phrase2,phrase2_masked,phrase2_cut,phrase1_masked
11,Mönche,m,m,m,Die Mönche betraten das Gebäude.,"Es war offensichtlich, dass die Mehrheit der Männer wirklich wütend war.","Es war offensichtlich, dass die Mehrheit der [MASK] wirklich wütend war.","Es war offensichtlich, dass die Mehrheit der",Die [MASK] betraten das Gebäude.
12,Nonnen,f,f,f,Die Nonnen gingen durch das Dorf.,Am Ende des Tages schien eine der Frauen eine Pause machen zu wollen.,Am Ende des Tages schien eine der [MASK] eine Pause machen zu wollen.,Am Ende des Tages schien eine der,Die [MASK] gingen durch das Dorf.
13,Onkel,m,f,m,Die Onkel durchquerten das Dorf.,Nach einiger Zeit schienen die meisten der Frauen nach Hause zu wollen.,Nach einiger Zeit schienen die meisten der [MASK] nach Hause zu wollen.,Nach einiger Zeit schienen die meisten der,Die [MASK] durchquerten das Dorf.
14,Opas,m,f,m,Die Opas verließen das Hotel.,Bei gutem Wetter trugen einige der Frauen einen Hut.,Bei gutem Wetter trugen einige der [MASK] einen Hut.,Bei gutem Wetter trugen einige der,Die [MASK] verließen das Hotel.
15,Väter,m,m,m,Die Väter waren bereits am Bahnhof.,Nach einem sehr langen Tag schien die Mehrheit der Männer nach Hause zu wollen.,Nach einem sehr langen Tag schien die Mehrheit der [MASK] nach Hause zu wollen.,Nach einem sehr langen Tag schien die Mehrheit der,Die [MASK] waren bereits am Bahnhof.
16,Prinzessinnen,f,m,f,Die Prinzessinnen warteten auf den Stufen.,"Es war offensichtlich, dass einige der Männer wirklich guter Laune waren.","Es war offensichtlich, dass einige der [MASK] wirklich guter Laune waren.","Es war offensichtlich, dass einige der",Die [MASK] warteten auf den Stufen.
17,Prinzen,m,f,m,Die Prinzen verließen das Schloss.,"Man konnte bemerken, dass eine der Frauen wirklich wütend war.","Man konnte bemerken, dass eine der [MASK] wirklich wütend war.","Man konnte bemerken, dass eine der",Die [MASK] verließen das Schloss.
18,Königinnen,f,m,f,Die Königinnen gingen die Treppe hinunter.,"Man konnte sehen, dass einer der Männer wirklich guter Laune war.","Man konnte sehen, dass einer der [MASK] wirklich guter Laune war.","Man konnte sehen, dass einer der",Die [MASK] gingen die Treppe hinunter.
19,Könige,m,f,m,Die Könige durchquerten den Park.,Nach einiger Zeit schienen mehrere der Frauen eine Pause machen zu wollen.,Nach einiger Zeit schienen mehrere der [MASK] eine Pause machen zu wollen.,Nach einiger Zeit schienen mehrere der,Die [MASK] durchquerten den Park.
20,Hebammen,f,f,f,Die Hebammen betraten das Krankenhaus.,Angesichts des guten Wetters hatten einige der Frauen keine Jacke.,Angesichts des guten Wetters hatten einige der [MASK] keine Jacke.,Angesichts des guten Wetters hatten einige der,Die [MASK] betraten das Krankenhaus.
21,Schwestern,f,m,f,Die Schwestern betraten den Flughafen.,"Man konnte bemerken, dass einige der Männer wirklich traurig waren.","Man konnte bemerken, dass einige der [MASK] wirklich traurig waren.","Man konnte bemerken, dass einige der",Die [MASK] betraten den Flughafen.
22,Tanten,f,m,f,Die Tanten machten schon Pause.,"Man konnte bemerken, dass einer der Männer wirklich ruhig war.","Man konnte bemerken, dass einer der [MASK] wirklich ruhig war.","Man konnte bemerken, dass einer der",Die [MASK] machten schon Pause.
23,Schwägerinnen,f,m,f,Die Schwägerinnen sahen sehr krank aus.,"Es war offensichtlich, dass die Mehrheit der Männer gesund war.","Es war offensichtlich, dass die Mehrheit der [MASK] gesund war.","Es war offensichtlich, dass die Mehrheit der",Die [MASK] sahen sehr krank aus.
24,Junge Männer,m,f,m,Die jungen Männer gingen ins Krankenhaus.,"Man konnte sehen, dass einige der Frauen wirklich krank aussahen.","Man konnte sehen, dass einige der [MASK] wirklich krank aussahen.","Man konnte sehen, dass einige der",Die jungen Männer gingen ins Krankenhaus.
25,Flugbegleiterinnen,n,m,n,Die Flugbegleiterinnen stiegen aus dem Flugzeug.,Nach einem so langen Tag schien die Mehrheit der Männer nach Hause zu wollen.,Nach einem so langen Tag schien die Mehrheit der [MASK] nach Hause zu wollen.,Nach einem so langen Tag schien die Mehrheit der,Die [MASK] stiegen aus dem Flugzeug.
26,Stewards,n,f,n,Die Stewards waren schon am Treffpunkt.,Nach einiger Zeit schienen mehrere der Frauen gehen zu wollen.,Nach einiger Zeit schienen mehrere der [MASK] gehen zu wollen.,Nach einiger Zeit schienen mehrere der,Die [MASK] waren schon am Treffpunkt.
27,Brautjungfern,f,m,f,Die Brautjungfern gingen die Stufen hinunter.,Nach einem so langen Tag schien ein Teil der Männer gehen zu wollen.,Nach einem so langen Tag schien ein Teil der [MASK] gehen zu wollen.,Nach einem so langen Tag schien ein Teil der,Die [MASK] gingen die Stufen hinunter.
28,Putzfrauen,f,m,f,Die Putzfrauen betraten das Haus.,Am Ende des Tages schienen einige der Männer eine Pause machen zu wollen.,Am Ende des Tages schienen einige der [MASK] eine Pause machen zu wollen.,Am Ende des Tages schienen einige der,Die [MASK] betraten das Haus.
29,Schwiegerväter,m,f,m,Die Schwiegerväter kamen von der Arbeit zurück.,Nach einiger Zeit schienen einige der Frauen umkehren zu wollen.,Nach einiger Zeit schienen einige der [MASK] umkehren zu wollen.,Nach einiger Zeit schienen einige der,Die [MASK] kamen von der Arbeit zurück.
30,Schwiegermütter,f,m,f,Die Schwiegermütter unterhielten sich ruhig.,Nach einiger Zeit schien ein Teil der Männer gehen zu wollen.,Nach einiger Zeit schien ein Teil der [MASK] gehen zu wollen.,Nach einiger Zeit schien ein Teil der,Die [MASK] unterhielten sich ruhig.
31,Nichten,f,m,f,Die Nichten freuten sich über das Ergebnis.,"Es war offensichtlich, dass die Mehrheit der Jungen wirklich traurig war.","Es war offensichtlich, dass die Mehrheit der [MASK] wirklich traurig war.","Es war offensichtlich, dass die Mehrheit der",Die [MASK] freuten sich über das Ergebnis.
32,Schwager,m,f,m,Die Schwager wirkten wirklich traurig.,"Man konnte bemerken, dass mehrere der Frauen sehr guter Laune waren.","Man konnte bemerken, dass mehrere der [MASK] sehr guter Laune waren.","Man konnte bemerken, dass mehrere der",Die [MASK] wirkten wirklich traurig.
33,Ehemänner,m,f,m,Die Ehemänner diskutierten lebhaft.,Nach einiger Zeit schien ein Teil der Frauen gehen zu wollen.,Nach einiger Zeit schien ein Teil der [MASK] gehen zu wollen.,Nach einiger Zeit schien ein Teil der,Die [MASK] diskutierten lebhaft.
34,Eigentümer,m,f,m,Die Eigentümer kamen in der Nacht nach Hause.,Angesichts des guten Wetters trugen die meisten der Frauen Sonnenbrillen.,Angesichts des guten Wetters trugen die meisten der [MASK] Sonnenbrillen.,Angesichts des guten Wetters trugen die meisten der,Die [MASK] kamen in der Nacht nach Hause.
35,Allergologen,n,m,m,Die Allergologen genossen die Sonne.,Aufgrund des schlechten Wetters trug einer der Männer einen Regenmantel.,Aufgrund des schlechten Wetters trug einer der [MASK] einen Regenmantel.,Aufgrund des schlechten Wetters trug einer der,Die [MASK] genossen die Sonne.
36,Choreographen,n,m,m,Die Choreographen warteten im Regen.,"Da es schön war, trugen einige der Männer ein T-Shirt.","Da es schön war, trugen einige der [MASK] ein T-Shirt.","Da es schön war, trugen einige der",Die [MASK] warteten im Regen.
37,Beamte,n,f,m,Die Beamten schützten sich vor der Hitze.,"Da es kalt war, trug eine der Frauen eine Winterjacke.","Da es kalt war, trug eine der [MASK] eine Winterjacke.","Da es kalt war, trug eine der",Die [MASK] schützten sich vor der Hitze.
38,Radfahrer,n,f,m,Die Radfahrer schützten sich vor dem Regen.,"Da es schön war, trugen mehrere der Frauen einen Hut.","Da es schön war, trugen mehrere der [MASK] einen Hut.","Da es schön war, trugen mehrere der",Die [MASK] schützten sich vor dem Regen.
39,Akademiker,n,f,m,Die Akademiker sahen die Schneeflocken an.,Wegen der Hitze hatten einige der Frauen keine Jacke.,Wegen der Hitze hatten einige der [MASK] keine Jacke.,Wegen der Hitze hatten einige der,Die [MASK] sahen die Schneeflocken an.
40,Önologen,n,m,m,Die Önologen genossen Wein in der Sonne.,Wegen des Regens hatten einige der Männer einen Regenschirm.,Wegen des Regens hatten einige der [MASK] einen Regenschirm.,Wegen des Regens hatten einige der,Die [MASK] genossen Wein in der Sonne.
41,Schiedsrichter,n,m,m,Die Schiedsrichter sahen das Spiel im Regen.,Aufgrund des guten Wetters trugen die meisten der Männer Shorts.,Aufgrund des guten Wetters trugen die meisten der [MASK] Shorts.,Aufgrund des guten Wetters trugen die meisten der,Die [MASK] sahen das Spiel im Regen.
42,Freiwillige,n,f,m,Die Freiwilligen genossen die Sonne.,"Da es regnete, trugen die meisten der Frauen eine Winterjacke.","Da es regnete, trugen die meisten der [MASK] eine Winterjacke.","Da es regnete, trugen die meisten der",Die [MASK] genossen die Sonne.
43,Tierärzte,n,m,m,Die Tierärzte sahen den Regen fallen.,Bei schönem Wetter trug die Mehrheit der Männer Sonnenbrillen.,Bei schönem Wetter trug die Mehrheit der [MASK] Sonnenbrillen.,Bei schönem Wetter trug die Mehrheit der,Die [MASK] sahen den Regen fallen.
44,Archäologen,n,f,m,Die Archäologen gingen durch den Schneesturm.,Angesichts der Hitze trugen einige der Frauen ein T-Shirt.,Angesichts der Hitze trugen einige der [MASK] ein T-Shirt.,Angesichts der Hitze trugen einige der,Die [MASK] gingen durch den Schneesturm.
