item_no,ante_noun,ante_gender,sentences,continuation,gender_a1,ref_a1,gender_a2,ref_a2,gender_a3,ref_a3,gender_mv,ref_mv
58,children,n,The children were waiting on the steps. It was obvious that some of the,children had been waiting for,n,yes,n,yes,n,yes,n,yes
59,daughters,f,The daughters were waiting on the steps. It was obvious that some of the,girls were not happy with,f,yes,f,yes,f,yes,f,yes
60,sons,m,The sons were waiting on the steps. It was obvious that some of the,boys had been crying.,m,yes,m,yes,m,yes,m,yes
61,spouses,n,The spouses were waiting on the steps. It was obvious that some of the,men had been drinking.,n,no,m,yes,m,yes,m,yes
62,wives,f,The wives were waiting on the steps. It was obvious that some of the,men had been drinking.,f,no,m,no,m,no,m,no
63,husbands,m,The husbands were waiting on the steps. It was obvious that some of the,women had been crying.,m,no,f,no,f,no,f,no
64,grandparents,n,The grandparents were descending the stairs. It was evident that one of the,grandchildren had been sitting on,n,no,n,no,n,no,n,no
65,grandmothers,f,The grandmothers were descending the stairs. It was evident that one of the,grandmothers was not,f,yes,f,yes,f,yes,f,yes
66,grandfathers,m,The grandfathers were descending the stairs. It was evident that one of the,grandfathers was a,m,yes,m,yes,m,yes,m,yes
67,monarchs,n,The monarchs were descending the stairs. It was evident that one of the,monarchs was a king,n,yes,n,yes,n,yes,n,yes
68,queens,f,The queens were descending the stairs. It was evident that one of the,queens was the mother of,f,yes,f,yes,f,yes,f,yes
69,kings,m,The kings were descending the stairs. It was evident that one of the,kings was the king of,m,yes,m,yes,m,yes,m,yes
70,siblings,n,The siblings were descending the stairs. It was evident that one of the,siblings was the oldest.,n,yes,n,yes,n,yes,n,yes
71,sisters,f,The sisters were descending the stairs. It was evident that one of the,sisters was the older of,f,yes,f,yes,f,yes,f,yes
72,brothers,m,The brothers were descending the stairs. It was evident that one of the," brothers was older, because",m,yes,m,yes,m,yes,m,yes
73,parents-in-law,n,The parents-in-law were descending the stairs. It was evident that one of the,pair had been crying.,n,yes,n,yes,n,yes,n,yes
74,mothers-in-law,f,The mothers-in-law were descending the stairs. It was evident that one of the,mothers-in-law was the,f,yes,f,yes,f,yes,f,yes
75,fathers-in-law,m,The fathers-in-law were descending the stairs. It was evident that one of the,fathers-in-law was a,m,yes,m,yes,m,yes,m,yes
76,parents,n,The parents were descending the stairs. It was evident that one of the,parents was upset. The,n,yes,n,yes,n,yes,n,yes
77,mothers,f,The mothers were descending the stairs. It was evident that one of the,mothers had been crying.,f,yes,f,yes,f,yes,f,yes
78,fathers,m,The fathers were descending the stairs. It was evident that one of the,fathers was a little tips,m,yes,m,yes,m,yes,m,yes
79,children,n,The children were descending the stairs. It was evident that one of the,children was the leader of,n,yes,n,yes,n,yes,n,yes
80,daughters,f,The daughters were descending the stairs. It was evident that one of the,girls was the other's,f,yes,f,yes,f,yes,f,yes
81,sons,m,The sons were descending the stairs. It was evident that one of the,boys was not happy with,m,yes,m,yes,m,yes,m,yes
82,spouses,n,The spouses were descending the stairs. It was evident that one of the,spouses was the husband.,n,yes,n,yes,n,yes,n,yes
83,wives,f,The wives were descending the stairs. It was evident that one of the,wives was not a wife,f,yes,f,yes,f,yes,f,yes
84,husbands,m,The husbands were descending the stairs. It was evident that one of the,husbands was a very wealthy,m,yes,m,yes,m,yes,m,yes
85,grandparents,n,The grandparents were entering the airport. It was noticeable that a few of the,people around them were wearing,n,yes,n,yes,n,no,n,yes
86,grandmothers,f,The grandmothers were entering the airport. It was noticeable that a few of the,grandmothers were not,f,yes,f,yes,f,yes,f,yes
87,grandfathers,m,The grandfathers were entering the airport. It was noticeable that a few of the,grandfathers were entering,m,yes,m,yes,m,yes,m,yes
88,monarchs,n,The monarchs were entering the airport. It was noticeable that a few of the,monarchs were not in,n,yes,n,yes,n,yes,n,yes
89,queens,f,The queens were entering the airport. It was noticeable that a few of the,queens were not from the,f,yes,f,yes,f,yes,f,yes
90,kings,m,The kings were entering the airport. It was noticeable that a few of the,kings were wearing crowns,m,yes,m,yes,m,yes,m,yes
91,siblings,n,The siblings were entering the airport. It was noticeable that a few of the,other passengers were also a,n,no,n,no,n,no,n,no
92,sisters,f,The sisters were entering the airport. It was noticeable that a few of the,other passengers were getting nervous,f,no,n,no,n,no,n,no
93,brothers,m,The brothers were entering the airport. It was noticeable that a few of the,other people were also arriving,m,no,n,no,n,no,n,no
94,parents-in-law,n,The parents-in-law were entering the airport. It was noticeable that a few of the,passengers were in a hurry,n,no,n,yes,n,no,n,no
95,mothers-in-law,f,The mothers-in-law were entering the airport. It was noticeable that a few of the,mothers-in-law were not,f,yes,f,yes,f,yes,f,yes
96,fathers-in-law,m,The fathers-in-law were entering the airport. It was noticeable that a few of the,fathers-in-law were not,m,yes,m,yes,m,yes,m,yes
97,parents,n,The parents were entering the airport. It was noticeable that a few of the,other parents were crying.,n,yes,n,UNSURE,n,no,n,NULL
98,mothers,f,The mothers were entering the airport. It was noticeable that a few of the,mothers were not traveling with,f,yes,f,yes,f,yes,f,yes
99,fathers,m,The fathers were entering the airport. It was noticeable that a few of the,fathers were not as happy,m,yes,m,yes,m,yes,m,yes
100,children,n,The children were entering the airport. It was noticeable that a few of the,children were not with their,n,yes,n,yes,n,yes,n,yes
101,daughters,f,The daughters were entering the airport. It was noticeable that a few of the,daughters were not wearing what,f,yes,f,yes,f,yes,f,yes
102,sons,m,The sons were entering the airport. It was noticeable that a few of the,sons were not married.,m,yes,m,yes,m,yes,m,yes
103,spouses,n,The spouses were entering the airport. It was noticeable that a few of the,other passengers were also couples,n,no,n,yes,n,no,n,no
104,wives,f,The wives were entering the airport. It was noticeable that a few of the,wives were not wearing masks,f,yes,f,yes,f,yes,f,yes
105,husbands,m,The husbands were entering the airport. It was noticeable that a few of the,husbands were nervous. The,m,yes,m,yes,m,yes,m,yes
106,grandparents,n,The grandparents were already on break. It was noticeable that one of the,grandchildren was not there.,n,no,n,no,n,no,n,no
107,grandmothers,f,The grandmothers were already on break. It was noticeable that one of the,grandmothers was not,f,yes,f,yes,f,yes,f,yes
108,grandfathers,m,The grandfathers were already on break. It was noticeable that one of the,grandfathers was not,m,yes,m,yes,m,yes,m,yes
109,monarchs,n,The monarchs were already on break. It was noticeable that one of the,monarchs was a little,n,yes,n,yes,n,yes,n,yes
110,queens,f,The queens were already on break. It was noticeable that one of the,queens was missing. The,f,yes,f,yes,f,yes,f,yes
111,kings,m,The kings were already on break. It was noticeable that one of the,kings was missing. The,m,yes,m,yes,m,yes,m,yes
112,siblings,n,The siblings were already on break. It was noticeable that one of the,siblings was not there.,n,yes,n,yes,n,yes,n,yes
113,sisters,f,The sisters were already on break. It was noticeable that one of the,sisters was not there.,f,yes,f,yes,f,yes,f,yes
114,brothers,m,The brothers were already on break. It was noticeable that one of the,brothers was not as what,m,yes,m,yes,m,yes,m,yes
115,parents-in-law,n,The parents-in-law were already on break. It was noticeable that one of the,children was missing. The,n,no,n,no,n,no,n,no
116,mothers-in-law,f,The mothers-in-law were already on break. It was noticeable that one of the,mothers-in-law was not,f,yes,f,yes,f,yes,f,yes
117,fathers-in-law,m,The fathers-in-law were already on break. It was noticeable that one of the,fathers-in-law was a,m,yes,m,yes,m,yes,m,yes
118,parents,n,The parents were already on break. It was noticeable that one of the,parents was not there.,n,yes,n,yes,n,yes,n,yes
119,mothers,f,The mothers were already on break. It was noticeable that one of the,mothers was not there.,f,yes,f,yes,f,yes,f,yes
120,fathers,m,The fathers were already on break. It was noticeable that one of the,fathers was not there.,m,yes,m,yes,m,yes,m,yes
121,children,n,The children were already on break. It was noticeable that one of the," children was not where?
",n,yes,n,yes,n,yes,n,yes
122,daughters,f,The daughters were already on break. It was noticeable that one of the,daughters was not there.,f,yes,f,yes,f,yes,f,yes
123,sons,m,The sons were already on break. It was noticeable that one of the,sons was not there.,m,yes,m,yes,m,yes,m,yes
124,spouses,n,The spouses were already on break. It was noticeable that one of the,spouses were on the bed,n,yes,n,yes,n,yes,n,yes
125,wives,f,The wives were already on break. It was noticeable that one of the,wives was not there.,f,yes,f,yes,f,yes,f,yes
126,husbands,m,The husbands were already on break. It was noticeable that one of the,wives was missing. The,m,no,f,no,f,no,f,no
127,grandparents,n,"The grandparents were descending the steps. After such a long day, some of the",steps were hard to see,n,no,NULL,yes,NULL,no,NULL,no
128,grandmothers,f,"The grandmothers were descending the steps. After such a long day, some of the",steps were difficult for them,f,no,NULL,yes,NULL,no,NULL,no
129,grandfathers,m,"The grandfathers were descending the steps. After such a long day, some of the",steps were particularly difficult.,m,no,NULL,yes,NULL,no,NULL,no
130,monarchs,n,"The monarchs were descending the steps. After such a long day, some of the",monarchs were tired and,n,yes,n,yes,n,yes,n,yes
131,queens,f,"The queens were descending the steps. After such a long day, some of the",queens were tired and went,f,yes,f,yes,f,yes,f,yes
132,kings,m,"The kings were descending the steps. After such a long day, some of the",kings were tired and some,m,yes,m,yes,m,yes,m,yes
133,siblings,n,"The siblings were descending the steps. After such a long day, some of the",steps were difficult. The,n,no,NULL,yes,NULL,no,NULL,no
134,sisters,f,"The sisters were descending the steps. After such a long day, some of the",steps were hard to see,f,no,NULL,yes,NULL,no,NULL,no
135,brothers,m,"The brothers were descending the steps. After such a long day, some of the",steps were hard to see,m,no,NULL,yes,NULL,no,NULL,no
136,parents-in-law,n,"The parents-in-law were descending the steps. After such a long day, some of the",guests were already leaving.,n,no,n,UNSURE,n,no,n,no
137,mothers-in-law,f,"The mothers-in-law were descending the steps. After such a long day, some of the",women were tired and some,f,yes,f,yes,f,yes,f,yes
138,fathers-in-law,m,"The fathers-in-law were descending the steps. After such a long day, some of the",men were tired and sleepy,m,yes,m,yes,m,yes,m,yes
139,parents,n,"The parents were descending the steps. After such a long day, some of the",parents were exhausted. The,n,yes,n,yes,n,yes,n,yes
140,mothers,f,"The mothers were descending the steps. After such a long day, some of the",mothers were tired and some,f,yes,f,yes,f,yes,f,yes
141,fathers,m,"The fathers were descending the steps. After such a long day, some of the",fathers were tired and some,m,yes,m,yes,m,yes,m,yes
142,children,n,"The children were descending the steps. After such a long day, some of the",children were tired and sleepy,n,yes,n,yes,n,yes,n,yes
143,daughters,f,"The daughters were descending the steps. After such a long day, some of the",steps were a bit difficult,f,no,NULL,yes,NULL,no,NULL,no
144,sons,m,"The sons were descending the steps. After such a long day, some of the",steps were a bit difficult,m,no,NULL,yes,NULL,no,NULL,no
145,spouses,n,"The spouses were descending the steps. After such a long day, some of the",steps were difficult to take,n,no,NULL,yes,NULL,no,NULL,no
146,wives,f,"The wives were descending the steps. After such a long day, some of the",women were tired and sleepy,f,yes,f,yes,f,yes,f,yes
147,husbands,m,"The husbands were descending the steps. After such a long day, some of the",men were a little tips,m,yes,m,yes,m,yes,m,yes
148,grandparents,n,"The grandparents were entering the house. At the end of the day, a few of the",grandchildren were still there.,n,no,n,no,n,no,n,no
149,grandmothers,f,"The grandmothers were entering the house. At the end of the day, a few of the",grandmothers were leaving,f,yes,f,yes,f,yes,f,yes
150,grandfathers,m,"The grandfathers were entering the house. At the end of the day, a few of the",grandfathers were still,m,yes,m,yes,m,yes,m,yes
151,monarchs,n,"The monarchs were entering the house. At the end of the day, a few of the",monarchs were still on,n,yes,n,yes,n,yes,n,yes
152,queens,f,"The queens were entering the house. At the end of the day, a few of the",queens were still in the,f,yes,f,yes,f,yes,f,yes
153,kings,m,"The kings were entering the house. At the end of the day, a few of the",kings were still entering the,m,yes,m,yes,m,yes,m,yes
154,siblings,n,"The siblings were entering the house. At the end of the day, a few of the",siblings were still in the,n,no,n,yes,n,yes,n,yes
155,sisters,f,"The sisters were entering the house. At the end of the day, a few of the",girls had to be carried,f,yes,f,yes,f,yes,f,yes
156,brothers,m,"The brothers were entering the house. At the end of the day, a few of the",boys would be punished for,m,yes,m,yes,m,yes,m,yes
157,parents-in-law,n,"The parents-in-law were entering the house. At the end of the day, a few of the"," guests had left, and",n,no,n,UNSURE,n,no,n,no
158,mothers-in-law,f,"The mothers-in-law were entering the house. At the end of the day, a few of the"," women were still there,",f,yes,f,yes,f,yes,f,yes
159,fathers-in-law,m,"The fathers-in-law were entering the house. At the end of the day, a few of the",men who had been working,m,yes,m,yes,m,yes,m,yes
160,parents,n,"The parents were entering the house. At the end of the day, a few of the",children were still playing outside,n,no,n,no,n,no,n,no
161,mothers,f,"The mothers were entering the house. At the end of the day, a few of the",mothers were leaving the house,f,yes,f,yes,f,yes,f,yes
162,fathers,m,"The fathers were entering the house. At the end of the day, a few of the",fathers were still working.,m,yes,m,yes,m,yes,m,yes
163,children,n,"The children were entering the house. At the end of the day, a few of the",children were still there.,n,yes,n,yes,n,yes,n,yes
164,daughters,f,"The daughters were entering the house. At the end of the day, a few of the",girls were still outside.,f,yes,f,yes,f,yes,f,yes
165,sons,m,"The sons were entering the house. At the end of the day, a few of the",sons were still in the,m,yes,m,yes,m,yes,m,yes
166,spouses,n,"The spouses were entering the house. At the end of the day, a few of the",guests were still there.,n,no,n,UNSURE,n,no,n,no
167,wives,f,"The wives were entering the house. At the end of the day, a few of the",wives were still outside.,f,yes,f,yes,f,yes,f,yes
168,husbands,m,"The husbands were entering the house. At the end of the day, a few of the",husbands were entering the house,m,yes,m,yes,m,yes,m,yes
169,grandparents,n,"The grandparents were talking calmly. After a while, some of the",people in the room began,n,no,n,yes,n,no,n,no
170,grandmothers,f,"The grandmothers were talking calmly. After a while, some of the",women began to cry.,f,yes,f,yes,f,yes,f,yes
171,grandfathers,m,"The grandfathers were talking calmly. After a while, some of the",young men began to get,m,no,m,no,m,no,m,no
172,monarchs,n,"The monarchs were talking calmly. After a while, some of the",monarchs were talking calmly,n,yes,n,yes,n,yes,n,yes
173,queens,f,"The queens were talking calmly. After a while, some of the",other women joined in the,f,no,f,no,f,no,f,no
174,kings,m,"The kings were talking calmly. After a while, some of the",kings got bored and left,m,yes,m,yes,m,yes,m,yes
175,siblings,n,"The siblings were talking calmly. After a while, some of the",siblings started to get angry,n,no,n,yes,n,yes,n,yes
176,sisters,f,"The sisters were talking calmly. After a while, some of the",other people in the room,f,no,n,no,n,no,n,no
177,brothers,m,"The brothers were talking calmly. After a while, some of the",other people in the room,m,no,n,no,n,no,n,no
178,parents-in-law,n,"The parents-in-law were talking calmly. After a while, some of the",guests arrived. The parents,n,no,n,yes,n,no,n,no
179,mothers-in-law,f,"The mothers-in-law were talking calmly. After a while, some of the",women began to cry.,f,yes,f,yes,f,yes,f,yes
180,fathers-in-law,m,"The fathers-in-law were talking calmly. After a while, some of the"," young men came back,",m,no,m,no,m,no,m,no
181,parents,n,"The parents were talking calmly. After a while, some of the",children began to get restless,n,yes,n,no,n,no,n,no
182,mothers,f,"The mothers were talking calmly. After a while, some of the",mothers began to leave.,f,yes,f,yes,f,yes,f,yes
183,fathers,m,"The fathers were talking calmly. After a while, some of the",fathers began to cry.,m,yes,m,yes,m,yes,m,yes
184,children,n,"The children were talking calmly. After a while, some of the",children began to get excited,n,yes,n,yes,n,yes,n,yes
185,daughters,f,"The daughters were talking calmly. After a while, some of the",men began to leave.,f,no,m,no,m,no,m,no
186,sons,m,"The sons were talking calmly. After a while, some of the",men began to leave.,n,yes,m,no,m,yes,m,yes
187,spouses,n,"The spouses were talking calmly. After a while, some of the",people in the room began,n,no,n,yes,n,no,n,no
188,wives,f,"The wives were talking calmly. After a while, some of the",husbands began to get restless,f,yes,m,no,f,no,f,no
189,husbands,m,"The husbands were talking calmly. After a while, some of the",women began to cry.,m,yes,f,no,f,no,f,no
190,grandparents,n,The grandparents were congratulating each other on the result. It was obvious that the majority of the,family was against them.,n,yes,n,yes,n,no,n,yes
191,grandmothers,f,The grandmothers were congratulating each other on the result. It was obvious that the majority of the,votes were cast in favor,f,no,n,no,NULL,no,NULL,no
192,grandfathers,m,The grandfathers were congratulating each other on the result. It was obvious that the majority of the,grandfathers were ____,m,yes,m,yes,m,yes,m,yes
193,monarchs,n,The monarchs were congratulating each other on the result. It was obvious that the majority of the,people had voted for the,n,yes,n,UNSURE,n,no,n,NULL
194,queens,f,The queens were congratulating each other on the result. It was obvious that the majority of the,council was on their side,f,no,n,yes,n,no,n,no
195,kings,m,The kings were congratulating each other on the result. It was obvious that the majority of the,people were in favor of,m,yes,n,UNSURE,n,no,n,NULL
196,siblings,n,The siblings were congratulating each other on the result. It was obvious that the majority of the,family voted for the older,n,yes,n,no,n,yes,n,yes
197,sisters,f,The sisters were congratulating each other on the result. It was obvious that the majority of the,voters had chosen the right,f,no,n,UNSURE,n,no,n,no
198,brothers,m,The brothers were congratulating each other on the result. It was obvious that the majority of the,jury was in their favor,m,no,n,yes,n,no,n,no
199,parents-in-law,n,The parents-in-law were congratulating each other on the result. It was obvious that the majority of the,guests were on their side,n,no,n,yes,n,no,n,no
200,mothers-in-law,f,The mothers-in-law were congratulating each other on the result. It was obvious that the majority of the,guests were on their side,f,no,n,yes,n,no,n,no
201,fathers-in-law,m,The fathers-in-law were congratulating each other on the result. It was obvious that the majority of the,guests were on the side,m,no,n,no,n,no,n,no
202,parents,n,The parents were congratulating each other on the result. It was obvious that the majority of the,parents were very happy with,n,yes,n,yes,n,yes,n,yes
203,mothers,f,The mothers were congratulating each other on the result. It was obvious that the majority of the,mothers had been to the,f,yes,f,yes,f,yes,f,yes
204,fathers,m,The fathers were congratulating each other on the result. It was obvious that the majority of the,fathers were very happy with,m,yes,m,yes,m,yes,m,yes
205,children,n,The children were congratulating each other on the result. It was obvious that the majority of the,children were not used to,n,yes,n,yes,n,yes,n,yes
206,daughters,f,The daughters were congratulating each other on the result. It was obvious that the majority of the,voters had chosen the right,f,no,n,UNSURE,f,no,f,no
207,sons,m,The sons were congratulating each other on the result. It was obvious that the majority of the,jury was in their favor,m,no,n,yes,n,no,n,no
208,spouses,n,The spouses were congratulating each other on the result. It was obvious that the majority of the,voters had approved of their,n,no,n,yes,n,no,n,no
209,wives,f,The wives were congratulating each other on the result. It was obvious that the majority of the,husbands were not. The,f,yes,m,no,m,no,m,no
210,husbands,m,The husbands were congratulating each other on the result. It was obvious that the majority of the,wives were not happy with,m,yes,f,no,f,no,f,no
211,grandparents,n,"The grandparents were crossing the hall. Given the bad weather, most of the",people were staying at home,n,no,n,UNSURE,n,no,n,no
212,grandmothers,f,"The grandmothers were crossing the hall. Given the bad weather, most of the",grandmothers were wearing,f,yes,f,yes,f,yes,f,yes
213,grandfathers,m,"The grandfathers were crossing the hall. Given the bad weather, most of the",people were sitting in the,m,no,n,UNSURE,n,no,n,no
214,monarchs,n,"The monarchs were crossing the hall. Given the bad weather, most of the",monarchs were late.,n,yes,n,yes,n,yes,n,yes
215,queens,f,"The queens were crossing the hall. Given the bad weather, most of the",people were sitting in the,f,no,n,UNSURE,n,no,n,no
216,kings,m,"The kings were crossing the hall. Given the bad weather, most of the",kings were wearing a rain,m,yes,m,yes,m,yes,m,yes
217,siblings,n,"The siblings were crossing the hall. Given the bad weather, most of the",time they were walking in,n,no,n,yes,NULL,no,n,no
218,sisters,f,"The sisters were crossing the hall. Given the bad weather, most of the",people were inside.,f,no,n,UNSURE,n,no,n,no
219,brothers,m,"The brothers were crossing the hall. Given the bad weather, most of the",people were sitting in the,m,no,n,UNSURE,n,no,n,no
220,parents-in-law,n,"The parents-in-law were crossing the hall. Given the bad weather, most of the",guests had left. The,n,no,n,UNSURE,n,no,n,no
221,mothers-in-law,f,"The mothers-in-law were crossing the hall. Given the bad weather, most of the",guests were seated. The,f,no,n,UNSURE,n,no,n,no
222,fathers-in-law,m,"The fathers-in-law were crossing the hall. Given the bad weather, most of the",guests had left. The,m,no,n,UNSURE,n,no,n,no
223,parents,n,"The parents were crossing the hall. Given the bad weather, most of the",parents were wearing a coat,n,yes,n,yes,n,yes,n,yes
224,mothers,f,"The mothers were crossing the hall. Given the bad weather, most of the",mothers were carrying umbrellas,f,yes,f,yes,f,yes,f,yes
225,fathers,m,"The fathers were crossing the hall. Given the bad weather, most of the",fathers were late. The,m,yes,m,yes,m,yes,m,yes
226,children,n,"The children were crossing the hall. Given the bad weather, most of the",children were wearing rainco,n,yes,n,yes,n,yes,n,yes
227,daughters,f,"The daughters were crossing the hall. Given the bad weather, most of the",students were absent. Given,f,no,n,UNSURE,n,no,n,no
228,sons,m,"The sons were crossing the hall. Given the bad weather, most of the",boys were in a hurry,m,yes,m,yes,m,yes,m,yes
229,spouses,n,"The spouses were crossing the hall. Given the bad weather, most of the",guests were what? -,n,no,n,UNSURE,n,no,n,no
230,wives,f,"The wives were crossing the hall. Given the bad weather, most of the",husbands were waiting for them,f,yes,m,yes,m,no,m,yes
231,husbands,m,"The husbands were crossing the hall. Given the bad weather, most of the",wives were staying home.,m,yes,f,no,f,no,f,no
