item_no,sentences,continuation,mentioned gender,refers back?
43,The grandparents were waiting on the steps. It was obvious that some of the,children were afraid of them,n,no
44,The grandmothers were waiting on the steps. It was obvious that some of the,children had been crying.,n,no
45,The grandfathers were waiting on the steps. It was obvious that some of the,elders had been waiting for,n,no
46,The monarchs were waiting on the steps. It was obvious that some of the,monarchs had been waiting,n,yes
47,The queens were waiting on the steps. It was obvious that some of the,queens were not happy with,f,yes
48,The kings were waiting on the steps. It was obvious that some of the,kings were more impatient than,m,yes
49,The siblings were waiting on the steps. It was obvious that some of the,children had been there for,n,no
50,The sisters were waiting on the steps. It was obvious that some of the,girls had been crying.,f,yes
51,The brothers were waiting on the steps. It was obvious that some of the,steps were worn by the,NA,no
52,The parents-in-law were waiting on the steps. It was obvious that some of the,guests had already arrived.,n,no
53,The mothers-in-law were waiting on the steps. It was obvious that some of the,women had been waiting for,f,yes
54,The fathers-in-law were waiting on the steps. It was obvious that some of the,men had been drinking.,m,yes
55,The parents were waiting on the steps. It was obvious that some of the," children were very excited,",n,no
56,The mothers were waiting on the steps. It was obvious that some of the,children had been crying.,n,no
57,The fathers were waiting on the steps. It was obvious that some of the,boys had been crying.,m,no
58,The children were waiting on the steps. It was obvious that some of the,children had been waiting for,n,yes
59,The daughters were waiting on the steps. It was obvious that some of the,girls were not happy with,f,yes
60,The sons were waiting on the steps. It was obvious that some of the,boys had been crying.,m,yes
61,The spouses were waiting on the steps. It was obvious that some of the,men had been drinking.,m,yes
62,The wives were waiting on the steps. It was obvious that some of the,men had been drinking.,m,no
63,The husbands were waiting on the steps. It was obvious that some of the,women had been crying.,f,no
64,The grandparents were descending the stairs. It was evident that one of the,grandchildren had been sitting on,n,no
65,The grandmothers were descending the stairs. It was evident that one of the,grandmothers was not,f,yes
66,The grandfathers were descending the stairs. It was evident that one of the,grandfathers was a,m,yes
67,The monarchs were descending the stairs. It was evident that one of the,monarchs was a king,n,yes
68,The queens were descending the stairs. It was evident that one of the,queens was the mother of,f,yes
69,The kings were descending the stairs. It was evident that one of the,kings was the king of,m,yes
70,The siblings were descending the stairs. It was evident that one of the,siblings was the oldest.,n,yes
71,The sisters were descending the stairs. It was evident that one of the,sisters was the older of,f,yes
72,The brothers were descending the stairs. It was evident that one of the," brothers was older, because",m,yes
73,The parents-in-law were descending the stairs. It was evident that one of the,pair had been crying.,n,yes
74,The mothers-in-law were descending the stairs. It was evident that one of the,mothers-in-law was the,f,yes
75,The fathers-in-law were descending the stairs. It was evident that one of the,fathers-in-law was a,m,yes
76,The parents were descending the stairs. It was evident that one of the,parents was upset. The,n,yes
77,The mothers were descending the stairs. It was evident that one of the,mothers had been crying.,f,yes
78,The fathers were descending the stairs. It was evident that one of the,fathers was a little tips,m,yes
79,The children were descending the stairs. It was evident that one of the,children was the leader of,n,yes
80,The daughters were descending the stairs. It was evident that one of the,girls was the other's,f,yes
81,The sons were descending the stairs. It was evident that one of the,boys was not happy with,m,yes
82,The spouses were descending the stairs. It was evident that one of the,spouses was the husband.,n,yes
83,The wives were descending the stairs. It was evident that one of the,wives was not a wife,f,yes
84,The husbands were descending the stairs. It was evident that one of the,husbands was a very wealthy,m,yes
85,The grandparents were entering the airport. It was noticeable that a few of the,people around them were wearing,n,no
86,The grandmothers were entering the airport. It was noticeable that a few of the,grandmothers were not,f,yes
87,The grandfathers were entering the airport. It was noticeable that a few of the,grandfathers were entering,m,yes
88,The monarchs were entering the airport. It was noticeable that a few of the,monarchs were not in,n,yes
89,The queens were entering the airport. It was noticeable that a few of the,queens were not from the,f,yes
90,The kings were entering the airport. It was noticeable that a few of the,kings were wearing crowns,m,yes
91,The siblings were entering the airport. It was noticeable that a few of the,other passengers were also a,n,no
92,The sisters were entering the airport. It was noticeable that a few of the,other passengers were getting nervous,n,no
93,The brothers were entering the airport. It was noticeable that a few of the,other people were also arriving,n,no
94,The parents-in-law were entering the airport. It was noticeable that a few of the,passengers were in a hurry,n,no
95,The mothers-in-law were entering the airport. It was noticeable that a few of the,mothers-in-law were not,f,yes
96,The fathers-in-law were entering the airport. It was noticeable that a few of the,fathers-in-law were not,m,yes
97,The parents were entering the airport. It was noticeable that a few of the,other parents were crying.,n,no
98,The mothers were entering the airport. It was noticeable that a few of the,mothers were not traveling with,f,yes
99,The fathers were entering the airport. It was noticeable that a few of the,fathers were not as happy,m,yes
100,The children were entering the airport. It was noticeable that a few of the,children were not with their,n,yes
101,The daughters were entering the airport. It was noticeable that a few of the,daughters were not wearing what,f,yes
102,The sons were entering the airport. It was noticeable that a few of the,sons were not married.,m,yes
103,The spouses were entering the airport. It was noticeable that a few of the,other passengers were also couples,n,no
104,The wives were entering the airport. It was noticeable that a few of the,wives were not wearing masks,f,yes
105,The husbands were entering the airport. It was noticeable that a few of the,husbands were nervous. The,m,yes
106,The grandparents were already on break. It was noticeable that one of the,grandchildren was not there.,n,no
107,The grandmothers were already on break. It was noticeable that one of the,grandmothers was not,f,yes
108,The grandfathers were already on break. It was noticeable that one of the,grandfathers was not,m,yes
109,The monarchs were already on break. It was noticeable that one of the,monarchs was a little,n,yes
110,The queens were already on break. It was noticeable that one of the,queens was missing. The,f,yes
111,The kings were already on break. It was noticeable that one of the,kings was missing. The,m,yes
112,The siblings were already on break. It was noticeable that one of the,siblings was not there.,n,yes
113,The sisters were already on break. It was noticeable that one of the,sisters was not there.,f,yes
114,The brothers were already on break. It was noticeable that one of the,brothers was not as what,m,yes
115,The parents-in-law were already on break. It was noticeable that one of the,children was missing. The,n,no
116,The mothers-in-law were already on break. It was noticeable that one of the,mothers-in-law was not,f,yes
117,The fathers-in-law were already on break. It was noticeable that one of the,fathers-in-law was a,m,yes
118,The parents were already on break. It was noticeable that one of the,parents was not there.,n,yes
119,The mothers were already on break. It was noticeable that one of the,mothers was not there.,f,yes
120,The fathers were already on break. It was noticeable that one of the,fathers was not there.,m,yes
121,The children were already on break. It was noticeable that one of the," children was not where?
",n,yes
122,The daughters were already on break. It was noticeable that one of the,daughters was not there.,f,yes
123,The sons were already on break. It was noticeable that one of the,sons was not there.,m,yes
124,The spouses were already on break. It was noticeable that one of the,spouses were on the bed,n,yes
125,The wives were already on break. It was noticeable that one of the,wives was not there.,f,yes
126,The husbands were already on break. It was noticeable that one of the,wives was missing. The,f,no
127,"The grandparents were descending the steps. After such a long day, some of the",steps were hard to see,NA,no
128,"The grandmothers were descending the steps. After such a long day, some of the",steps were difficult for them,NA,no
129,"The grandfathers were descending the steps. After such a long day, some of the",steps were particularly difficult.,NA,no
130,"The monarchs were descending the steps. After such a long day, some of the",monarchs were tired and,n,yes
131,"The queens were descending the steps. After such a long day, some of the",queens were tired and went,f,yes
132,"The kings were descending the steps. After such a long day, some of the",kings were tired and some,m,yes
133,"The siblings were descending the steps. After such a long day, some of the",steps were difficult. The,NA,no
134,"The sisters were descending the steps. After such a long day, some of the",steps were hard to see,NA,no
135,"The brothers were descending the steps. After such a long day, some of the",steps were hard to see,NA,no
136,"The parents-in-law were descending the steps. After such a long day, some of the",guests were already leaving.,n,no
137,"The mothers-in-law were descending the steps. After such a long day, some of the",women were tired and some,f,yes
138,"The fathers-in-law were descending the steps. After such a long day, some of the",men were tired and sleepy,m,yes
139,"The parents were descending the steps. After such a long day, some of the",parents were exhausted. The,n,yes
140,"The mothers were descending the steps. After such a long day, some of the",mothers were tired and some,f,yes
141,"The fathers were descending the steps. After such a long day, some of the",fathers were tired and some,m,yes
142,"The children were descending the steps. After such a long day, some of the",children were tired and sleepy,n,yes
143,"The daughters were descending the steps. After such a long day, some of the",steps were a bit difficult,NA,no
144,"The sons were descending the steps. After such a long day, some of the",steps were a bit difficult,NA,no
145,"The spouses were descending the steps. After such a long day, some of the",steps were difficult to take,NA,no
146,"The wives were descending the steps. After such a long day, some of the",women were tired and sleepy,f,yes
147,"The husbands were descending the steps. After such a long day, some of the",men were a little tips,m,yes
148,"The grandparents were entering the house. At the end of the day, a few of the",grandchildren were still there.,n,no
149,"The grandmothers were entering the house. At the end of the day, a few of the",grandmothers were leaving,f,yes
150,"The grandfathers were entering the house. At the end of the day, a few of the",grandfathers were still,m,yes
151,"The monarchs were entering the house. At the end of the day, a few of the",monarchs were still on,n,yes
152,"The queens were entering the house. At the end of the day, a few of the",queens were still in the,f,yes
153,"The kings were entering the house. At the end of the day, a few of the",kings were still entering the,m,yes
154,"The siblings were entering the house. At the end of the day, a few of the",siblings were still in the,n,yes
155,"The sisters were entering the house. At the end of the day, a few of the",girls had to be carried,f,yes
156,"The brothers were entering the house. At the end of the day, a few of the",boys would be punished for,m,yes
157,"The parents-in-law were entering the house. At the end of the day, a few of the"," guests had left, and",n,no
158,"The mothers-in-law were entering the house. At the end of the day, a few of the"," women were still there,",f,yes
159,"The fathers-in-law were entering the house. At the end of the day, a few of the",men who had been working,m,yes
160,"The parents were entering the house. At the end of the day, a few of the",children were still playing outside,n,no
161,"The mothers were entering the house. At the end of the day, a few of the",mothers were leaving the house,f,yes
162,"The fathers were entering the house. At the end of the day, a few of the",fathers were still working.,m,yes
163,"The children were entering the house. At the end of the day, a few of the",children were still there.,n,yes
164,"The daughters were entering the house. At the end of the day, a few of the",girls were still outside.,f,yes
165,"The sons were entering the house. At the end of the day, a few of the",sons were still in the,m,yes
166,"The spouses were entering the house. At the end of the day, a few of the",guests were still there.,n,no
167,"The wives were entering the house. At the end of the day, a few of the",wives were still outside.,f,yes
168,"The husbands were entering the house. At the end of the day, a few of the",husbands were entering the house,m,yes
169,"The grandparents were talking calmly. After a while, some of the",people in the room began,n,no
170,"The grandmothers were talking calmly. After a while, some of the",women began to cry.,f,yes
171,"The grandfathers were talking calmly. After a while, some of the",young men began to get,m,no
172,"The monarchs were talking calmly. After a while, some of the",monarchs were talking calmly,n,yes
173,"The queens were talking calmly. After a while, some of the",other women joined in the,f,no
174,"The kings were talking calmly. After a while, some of the",kings got bored and left,m,yes
175,"The siblings were talking calmly. After a while, some of the",siblings started to get angry,n,yes
176,"The sisters were talking calmly. After a while, some of the",other people in the room,n,no
177,"The brothers were talking calmly. After a while, some of the",other people in the room,n,no
178,"The parents-in-law were talking calmly. After a while, some of the",guests arrived. The parents,n,no
179,"The mothers-in-law were talking calmly. After a while, some of the",women began to cry.,f,yes
180,"The fathers-in-law were talking calmly. After a while, some of the"," young men came back,",m,no
181,"The parents were talking calmly. After a while, some of the",children began to get restless,n,no
182,"The mothers were talking calmly. After a while, some of the",mothers began to leave.,f,yes
183,"The fathers were talking calmly. After a while, some of the",fathers began to cry.,m,yes
184,"The children were talking calmly. After a while, some of the",children began to get excited,n,yes
185,"The daughters were talking calmly. After a while, some of the",men began to leave.,m,no
186,"The sons were talking calmly. After a while, some of the",men began to leave.,m,yes
187,"The spouses were talking calmly. After a while, some of the",people in the room began,n,no
188,"The wives were talking calmly. After a while, some of the",husbands began to get restless,f,no
189,"The husbands were talking calmly. After a while, some of the",women began to cry.,f,no
190,The grandparents were congratulating each other on the result. It was obvious that the majority of the,family was against them.,n,no
191,The grandmothers were congratulating each other on the result. It was obvious that the majority of the,votes were cast in favor,NA,no
192,The grandfathers were congratulating each other on the result. It was obvious that the majority of the,grandfathers were ____,m,yes
193,The monarchs were congratulating each other on the result. It was obvious that the majority of the,people had voted for the,n,no
194,The queens were congratulating each other on the result. It was obvious that the majority of the,council was on their side,n,no
195,The kings were congratulating each other on the result. It was obvious that the majority of the,people were in favor of,n,no
196,The siblings were congratulating each other on the result. It was obvious that the majority of the,family voted for the older,n,yes
197,The sisters were congratulating each other on the result. It was obvious that the majority of the,voters had chosen the right,n,no
198,The brothers were congratulating each other on the result. It was obvious that the majority of the,jury was in their favor,n,no
199,The parents-in-law were congratulating each other on the result. It was obvious that the majority of the,guests were on their side,n,no
200,The mothers-in-law were congratulating each other on the result. It was obvious that the majority of the,guests were on their side,n,no
201,The fathers-in-law were congratulating each other on the result. It was obvious that the majority of the,guests were on the side,n,no
202,The parents were congratulating each other on the result. It was obvious that the majority of the,parents were very happy with,n,yes
203,The mothers were congratulating each other on the result. It was obvious that the majority of the,mothers had been to the,f,yes
204,The fathers were congratulating each other on the result. It was obvious that the majority of the,fathers were very happy with,m,yes
205,The children were congratulating each other on the result. It was obvious that the majority of the,children were not used to,n,yes
206,The daughters were congratulating each other on the result. It was obvious that the majority of the,voters had chosen the right,f,no
207,The sons were congratulating each other on the result. It was obvious that the majority of the,jury was in their favor,n,no
208,The spouses were congratulating each other on the result. It was obvious that the majority of the,voters had approved of their,n,no
209,The wives were congratulating each other on the result. It was obvious that the majority of the,husbands were not. The,m,no
210,The husbands were congratulating each other on the result. It was obvious that the majority of the,wives were not happy with,f,no
211,"The grandparents were crossing the hall. Given the bad weather, most of the",people were staying at home,n,no
212,"The grandmothers were crossing the hall. Given the bad weather, most of the",grandmothers were wearing,f,yes
213,"The grandfathers were crossing the hall. Given the bad weather, most of the",people were sitting in the,n,no
214,"The monarchs were crossing the hall. Given the bad weather, most of the",monarchs were late.,n,yes
215,"The queens were crossing the hall. Given the bad weather, most of the",people were sitting in the,n,no
216,"The kings were crossing the hall. Given the bad weather, most of the",kings were wearing a rain,m,yes
217,"The siblings were crossing the hall. Given the bad weather, most of the",time they were walking in,NA,no
218,"The sisters were crossing the hall. Given the bad weather, most of the",people were inside.,n,no
219,"The brothers were crossing the hall. Given the bad weather, most of the",people were sitting in the,n,no
220,"The parents-in-law were crossing the hall. Given the bad weather, most of the",guests had left. The,n,no
221,"The mothers-in-law were crossing the hall. Given the bad weather, most of the",guests were seated. The,n,no
222,"The fathers-in-law were crossing the hall. Given the bad weather, most of the",guests had left. The,n,no
223,"The parents were crossing the hall. Given the bad weather, most of the",parents were wearing a coat,n,yes
224,"The mothers were crossing the hall. Given the bad weather, most of the",mothers were carrying umbrellas,f,yes
225,"The fathers were crossing the hall. Given the bad weather, most of the",fathers were late. The,m,yes
226,"The children were crossing the hall. Given the bad weather, most of the",children were wearing rainco,n,yes
227,"The daughters were crossing the hall. Given the bad weather, most of the",students were absent. Given,n,no
228,"The sons were crossing the hall. Given the bad weather, most of the",boys were in a hurry,m,yes
229,"The spouses were crossing the hall. Given the bad weather, most of the",guests were what? -,n,no
230,"The wives were crossing the hall. Given the bad weather, most of the",husbands were waiting for them,m,no
231,"The husbands were crossing the hall. Given the bad weather, most of the",wives were staying home.,f,no
232,"The grandparents were going to the supermarket. With bad weather expected, one of the",grandchildren gave Grandpa a,n,no
233,"The grandmothers were going to the supermarket. With bad weather expected, one of the",grandmothers took an,f,yes
234,"The grandfathers were going to the supermarket. With bad weather expected, one of the",grandfathers said to,m,yes
235,"The monarchs were going to the supermarket. With bad weather expected, one of the",monarchs decided to buy,n,yes
236,"The queens were going to the supermarket. With bad weather expected, one of the",queens asked the other to,f,yes
237,"The kings were going to the supermarket. With bad weather expected, one of the",kings wanted to buy a,m,yes
238,"The siblings were going to the supermarket. With bad weather expected, one of the"," siblings said, ""It",n,yes
239,"The sisters were going to the supermarket. With bad weather expected, one of the"," sisters said, ""Let",f,yes
240,"The brothers were going to the supermarket. With bad weather expected, one of the",brothers decided to go immediately,m,yes
241,"The parents-in-law were going to the supermarket. With bad weather expected, one of the",children asked them to buy,n,no
242,"The mothers-in-law were going to the supermarket. With bad weather expected, one of the",mothers-in-law went to,f,yes
243,"The fathers-in-law were going to the supermarket. With bad weather expected, one of the",fathers-in-law asked the,m,yes
244,"The parents were going to the supermarket. With bad weather expected, one of the"," children asked, ""Will",n,no
245,"The mothers were going to the supermarket. With bad weather expected, one of the"," mothers said, ""I",f,yes
246,"The fathers were going to the supermarket. With bad weather expected, one of the",fathers asked the other to,m,yes
247,"The children were going to the supermarket. With bad weather expected, one of the"," children asked, ""Will",n,yes
248,"The daughters were going to the supermarket. With bad weather expected, one of the"," daughters said, ""I",f,yes
249,"The sons were going to the supermarket. With bad weather expected, one of the",sons asked their mother what,m,yes
250,"The spouses were going to the supermarket. With bad weather expected, one of the",spouses said to the other,n,yes
251,"The wives were going to the supermarket. With bad weather expected, one of the"," wives said, ""I",f,yes
252,"The husbands were going to the supermarket. With bad weather expected, one of the"," husbands said, ""I",m,yes
253,The grandparents were leaving hastily. It was evident that most of the,family had already left.,n,no
254,The grandmothers were leaving hastily. It was evident that most of the,women were in a hurry,f,yes
255,The grandfathers were leaving hastily. It was evident that most of the,people in the room were,n,no
256,The monarchs were leaving hastily. It was evident that most of the,monarchs were flying in,n,yes
257,The queens were leaving hastily. It was evident that most of the,workers were not going to,n,no
258,The kings were leaving hastily. It was evident that most of the,people in the palace were,n,no
259,The siblings were leaving hastily. It was evident that most of the,items were left behind.,NA,no
260,The sisters were leaving hastily. It was evident that most of the,things in the room had,NA,no
261,The brothers were leaving hastily. It was evident that most of the,men were armed. The,m,yes
262,The parents-in-law were leaving hastily. It was evident that most of the,family were anxious to be,n,
263,The mothers-in-law were leaving hastily. It was evident that most of the,women were in a hurry,f,yes
264,The fathers-in-law were leaving hastily. It was evident that most of the,women were not going to,f,no
265,The parents were leaving hastily. It was evident that most of the,children were not aware of,n,no
266,The mothers were leaving hastily. It was evident that most of the,children had been taken away,n,no
267,The fathers were leaving hastily. It was evident that most of the,children had never seen their,n,no
268,The children were leaving hastily. It was evident that most of the,children were leaving the party,n,yes
269,The daughters were leaving hastily. It was evident that most of the,family was leaving. The,n,yes
270,The sons were leaving hastily. It was evident that most of the,men were in a hurry,m,yes
271,The spouses were leaving hastily. It was evident that most of the,guests were angry at the,n,no
272,The wives were leaving hastily. It was evident that most of the,men were not going to,m,no
273,The husbands were leaving hastily. It was evident that most of the,women were not going to,f,no
274,"The grandparents were walking in the village. At the end of the day, one of the"," grandparents said, ""I",n,no
275,"The grandmothers were walking in the village. At the end of the day, one of the"," grandmothers said,",f,yes
276,"The grandfathers were walking in the village. At the end of the day, one of the"," grandfathers said,",m,yes
277,"The monarchs were walking in the village. At the end of the day, one of the"," monarchs said, """,n,yes
278,"The queens were walking in the village. At the end of the day, one of the"," queens said, ""I",f,yes
279,"The kings were walking in the village. At the end of the day, one of the"," kings said, ""I",m,yes
280,"The siblings were walking in the village. At the end of the day, one of the",siblings was tired and said,n,yes
281,"The sisters were walking in the village. At the end of the day, one of the"," sisters said, ""I",f,yes
282,"The brothers were walking in the village. At the end of the day, one of the",brothers said to the other,m,yes
283,"The parents-in-law were walking in the village. At the end of the day, one of the",parents-in-law said to,n,yes
284,"The mothers-in-law were walking in the village. At the end of the day, one of the",mothers-in-law said to,f,yes
285,"The fathers-in-law were walking in the village. At the end of the day, one of the",fathers-in-law said to,m,yes
286,"The parents were walking in the village. At the end of the day, one of the",parents said to the other,n,yes
287,"The mothers were walking in the village. At the end of the day, one of the"," mothers said, ""I",f,yes
288,"The fathers were walking in the village. At the end of the day, one of the"," fathers said, ""I",m,yes
289,"The children were walking in the village. At the end of the day, one of the"," children said, ""I",n,yes
290,"The daughters were walking in the village. At the end of the day, one of the"," daughters said, ""I",f,yes
291,"The sons were walking in the village. At the end of the day, one of the"," sons said, ""I",m,yes
292,"The spouses were walking in the village. At the end of the day, one of the"," spouses said, ""I",n,yes
293,"The wives were walking in the village. At the end of the day, one of the"," wives said, ""I",f,yes
294,"The husbands were walking in the village. At the end of the day, one of the"," husbands said, ""I",m,yes
295,"The grandparents were entering the hospital. Given the good weather, some of the",family members decided to take,n,no
296,"The grandmothers were entering the hospital. Given the good weather, some of the",grandmothers were entering,f,yes
297,"The grandfathers were entering the hospital. Given the good weather, some of the",grandfathers were wearing,m,yes
298,"The monarchs were entering the hospital. Given the good weather, some of the",monarchs were flying around,n,yes
299,"The queens were entering the hospital. Given the good weather, some of the",patients were being wheeled,n,no
300,"The kings were entering the hospital. Given the good weather, some of the",kings were wearing hats.,m,yes
301,"The siblings were entering the hospital. Given the good weather, some of the",staff had left the windows,n,no
302,"The sisters were entering the hospital. Given the good weather, some of the",staff had placed potted,n,no
303,"The brothers were entering the hospital. Given the good weather, some of the",brothers decided to take a,m,yes
304,"The parents-in-law were entering the hospital. Given the good weather, some of the",patients were sitting on the,n,no
305,"The mothers-in-law were entering the hospital. Given the good weather, some of the",nurses opened the windows to,n,no
306,"The fathers-in-law were entering the hospital. Given the good weather, some of the",fathers-in-law were entering,m,yes
307,"The parents were entering the hospital. Given the good weather, some of the",parents were sitting on the,n,yes
308,"The mothers were entering the hospital. Given the good weather, some of the",mothers wanted to take a,f,yes
309,"The fathers were entering the hospital. Given the good weather, some of the",fathers were wearing shorts and,m,yes
310,"The children were entering the hospital. Given the good weather, some of the",children were playing outside.,n,yes
311,"The daughters were entering the hospital. Given the good weather, some of the",daughters were wearing shorts.,f,yes
312,"The sons were entering the hospital. Given the good weather, some of the",sons were wearing hats.,m,yes
313,"The spouses were entering the hospital. Given the good weather, some of the",patients were being wheeled,n,no
314,"The wives were entering the hospital. Given the good weather, some of the",husbands decided to take a,m,no
315,"The husbands were entering the hospital. Given the good weather, some of the",husbands were wearing only shorts,m,yes
316,"The grandparents were walking across the square. Because of the heat, several of the",older people were tired.,n,no
317,"The grandmothers were walking across the square. Because of the heat, several of the",grandmothers fainted,f,yes
318,"The grandfathers were walking across the square. Because of the heat, several of the",grandfathers had taken,m,yes
319,"The monarchs were walking across the square. Because of the heat, several of the",monarchs began to wilt,n,yes
320,"The queens were walking across the square. Because of the heat, several of the",queens fainted and had,f,yes
321,"The kings were walking across the square. Because of the heat, several of the",kings had fallen asleep.,m,yes
322,"The siblings were walking across the square. Because of the heat, several of the",children did what? Options,n,no
323,"The sisters were walking across the square. Because of the heat, several of the",girls had taken off their,f,yes
324,"The brothers were walking across the square. Because of the heat, several of the",men had removed their coats,m,yes
325,"The parents-in-law were walking across the square. Because of the heat, several of the",trees had been sprayed with,NA,no
326,"The mothers-in-law were walking across the square. Because of the heat, several of the",women had tied their head,f,yes
327,"The fathers-in-law were walking across the square. Because of the heat, several of the",men were barefooted,m,yes
328,"The parents were walking across the square. Because of the heat, several of the",children were carried on their,n,no
329,"The mothers were walking across the square. Because of the heat, several of the",mothers were wearing hats.,f,yes
330,"The fathers were walking across the square. Because of the heat, several of the",men had taken off their,m,yes
331,"The children were walking across the square. Because of the heat, several of the"," children were ________.
",n,yes
332,"The daughters were walking across the square. Because of the heat, several of the",girls took off their shoes,f,yes
333,"The sons were walking across the square. Because of the heat, several of the",boys were carrying watermel,m,yes
334,"The spouses were walking across the square. Because of the heat, several of the",men were wearing only shorts,n,yes
335,"The wives were walking across the square. Because of the heat, several of the",women had taken off their,f,yes
336,"The husbands were walking across the square. Because of the heat, several of the",men had taken off their,m,yes
337,"The grandparents were crossing the village. After a while, the majority of the",children in the village came,n,no
338,"The grandmothers were crossing the village. After a while, the majority of the",grandmothers were joined,f,yes
339,"The grandfathers were crossing the village. After a while, the majority of the",grandfathers were joined,m,yes
340,"The monarchs were crossing the village. After a while, the majority of the",monarchs had crossed the,n,yes
341,"The queens were crossing the village. After a while, the majority of the"," queens entered the castle,",f,yes
342,"The kings were crossing the village. After a while, the majority of the",villagers were able to see,n,no
343,"The siblings were crossing the village. After a while, the majority of the",children were tired and gr,n,yes
344,"The sisters were crossing the village. After a while, the majority of the",people who were crossing the,n,no
345,"The brothers were crossing the village. After a while, the majority of the",people who were in the,n,no
346,"The parents-in-law were crossing the village. After a while, the majority of the",villagers came out to watch,n,no
347,"The mothers-in-law were crossing the village. After a while, the majority of the",women stopped and sat down,f,yes
348,"The fathers-in-law were crossing the village. After a while, the majority of the",villagers realized that the fathers,n,no
349,"The parents were crossing the village. After a while, the majority of the",villagers had gathered around them,n,no
350,"The mothers were crossing the village. After a while, the majority of the",mothers were walking on the,f,yes
351,"The fathers were crossing the village. After a while, the majority of the",fathers were joined by their,m,yes
352,"The children were crossing the village. After a while, the majority of the",children were tired and sat,n,yes
353,"The daughters were crossing the village. After a while, the majority of the",daughters were in the village,f,yes
354,"The sons were crossing the village. After a while, the majority of the",people in the village were,n,no
355,"The spouses were crossing the village. After a while, the majority of the",people in the village were,n,no
356,"The wives were crossing the village. After a while, the majority of the",wives were crossing the village,f,yes
357,"The husbands were crossing the village. After a while, the majority of the",husbands were tired. The,m,yes
358,"The grandparents were leaving the hotel. With good weather expected, some of the",group were going to the,n,yes
